obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""370.7627""","=""370.7623""","=""200""","=""""",,"=""16133.98""","=""43097.77""","=""4d5.5s2""","=""4G""","=""9/2""","=""4d6.(3D).5p""","=""4F*""","=""9/2""",,"=""""","=""L149""",
"=""370.8261""","=""370.8268""","=""200""","=""""",,"=""16553.39""","=""43512.49""","=""4d6.(3H).5s""","=""4H""","=""13/2""","=""4d6.(3H).5p""","=""4H*""","=""11/2""",,"=""""","=""L149""",
"=""371.2256""","=""371.2264""","=""1000""","=""""",,"=""3700.54""","=""30630.62""","=""4d6.(5D).5s""","=""6D""","=""5/2""","=""4d6.(5D).5p""","=""6F*""","=""3/2""",,"=""""","=""L149""",
"=""371.2819""","=""371.2822""","=""300""","=""""",,"=""15770.42""","=""42696.45""","=""4d6.(3F2).5s""","=""4F""","=""3/2""","=""4d6.(3G).5p""","=""4G*""","=""5/2""",,"=""""","=""L149""",
"=""371.5944""","=""371.5944""","=""500""","=""""",,"=""14169.75""","=""41073.16""","=""4d6.(3P2).5s""","=""4P""","=""3/2""","=""4d6.(3P2).5p""","=""4S*""","=""3/2""",,"=""""","=""L149""",
"=""371.8861""","=""371.8855""","=""10000""","=""1.05e+08""",,"=""3250.91""","=""30133.26""","=""4d6.(5D).5s""","=""6D""","=""7/2""","=""4d6.(5D).5p""","=""6F*""","=""9/2""",,"=""T6934""","=""L149""",
"=""372.3674""","=""372.3663""","=""1500*""","=""""",,"=""20384.74""","=""47232.38""","=""4d6.(3F2).5s""","=""2F""","=""7/2""","=""4d6.(3F2).5p""","=""2D*""","=""5/2""",,"=""""","=""L4515""",
"=""372.3674""","=""372.3667""","=""1500*""","=""""",,"=""14733.14""","=""41580.75""","=""4d7""","=""4F""","=""9/2""","=""4d6.(3H).5p""","=""4G*""","=""11/2""",,"=""""","=""L149""",
"=""372.4395""","=""372.4393""","=""2000""","=""""",,"=""17522.92""","=""44365.30""","=""4d5.(6S).5s.(7S).5p""","=""8P*""","=""9/2""","=""4d5.(6S).5s.(7S).5d""","=""e 8D""","=""11/2""",,"=""""","=""L149""",
"=""372.6351""","=""372.6345""","=""5000""","=""""",,"=""3700.54""","=""30528.86""","=""4d6.(5D).5s""","=""6D""","=""5/2""","=""4d6.(5D).5p""","=""6F*""","=""5/2""",,"=""""","=""L149""",
"=""372.7364""","=""372.7365""","=""200""","=""""",,"=""17522.92""","=""44343.90""","=""4d5.(6S).5s.(7S).5p""","=""8P*""","=""9/2""","=""4d5.(6S).5s.(7S).5d""","=""e 8D""","=""7/2""",,"=""""","=""L149""",
"=""372.9177""","=""372.9180""","=""400c""","=""""",,"=""17282.63""","=""44090.55""","=""4d6.(3H).5s""","=""4H""","=""7/2""","=""4d6.(3F2).5p""","=""4F*""","=""7/2""",,"=""""","=""L149""",
"=""373.1735""","=""373.1739""","=""500""","=""""",,"=""16287.79""","=""43077.33""","=""4d5.5s2""","=""4G""","=""7/2""","=""4d6.(3G).5p""","=""2F*""","=""7/2""",,"=""""","=""L149""",
"=""373.7420""","=""373.7417""","=""300""","=""""",,"=""16025.15""","=""42773.99""","=""4d5.5s2""","=""4G""","=""11/2""","=""""","=""5*""","=""11/2""",,"=""""","=""L149""",
"=""374.5012""","=""374.5009""","=""400""","=""""",,"=""15298.46""","=""41993.08""","=""4d6.(3F2).5s""","=""4F""","=""7/2""","=""4d6.(3H).5p""","=""4G*""","=""7/2""",,"=""""","=""L149""",
"=""374.6148""","=""374.6141""","=""1000""","=""""",,"=""4002.57""","=""30689.12""","=""4d6.(5D).5s""","=""6D""","=""3/2""","=""4d6.(5D).5p""","=""6F*""","=""1/2""",,"=""""","=""L149""",
"=""374.6845""","=""374.6847""","=""5000""","=""""",,"=""3700.54""","=""30382.06""","=""4d6.(5D).5s""","=""6D""","=""5/2""","=""4d6.(5D).5p""","=""6F*""","=""7/2""",,"=""""","=""L149""",
"=""375.2134""","=""375.2094""","=""1000*""","=""""",,"=""16553.39""","=""43197.60""","=""4d6.(3H).5s""","=""4H""","=""13/2""","=""4d6.(3H).5p""","=""4I*""","=""13/2""",,"=""""","=""L4515""",
"=""375.2134""","=""375.2153""","=""1000*""","=""""",,"=""17328.02""","=""43971.81""","=""4d6.(3H).5s""","=""4H""","=""9/2""","=""4d6.(3H).5p""","=""4H*""","=""9/2""",,"=""""","=""L149""",
"=""375.4368""","=""375.4371""","=""4000""","=""""",,"=""4002.57""","=""30630.62""","=""4d6.(5D).5s""","=""6D""","=""3/2""","=""4d6.(5D).5p""","=""6F*""","=""3/2""",,"=""""","=""L149""",
"=""375.8535""","=""375.8538""","=""1000""","=""""",,"=""15298.46""","=""41896.99""","=""4d6.(3F2).5s""","=""4F""","=""7/2""","=""4d6.(3H).5p""","=""4G*""","=""9/2""",,"=""""","=""L149""",
"=""376.1807""","=""376.1804""","=""2000""","=""""",,"=""16025.15""","=""42600.59""","=""4d5.5s2""","=""4G""","=""11/2""","=""4d6.(3G).5p""","=""2H*""","=""11/2""",,"=""""","=""L149""",
"=""376.8774""","=""376.8774""","=""5000""","=""""",,"=""4002.57""","=""30528.86""","=""4d6.(5D).5s""","=""6D""","=""3/2""","=""4d6.(5D).5p""","=""6F*""","=""5/2""",,"=""""","=""L149""",
"=""377.1031""","=""377.1037""","=""3000""","=""""",,"=""4178.75""","=""30689.12""","=""4d6.(5D).5s""","=""6D""","=""1/2""","=""4d6.(5D).5p""","=""6F*""","=""1/2""",,"=""""","=""L149""",
"=""377.7274""","=""377.7273""","=""500""","=""""",,"=""16133.98""","=""42600.59""","=""4d5.5s2""","=""4G""","=""9/2""","=""4d6.(3G).5p""","=""2H*""","=""11/2""",,"=""""","=""L149""",
"=""377.9373""","=""377.9378""","=""2000""","=""""",,"=""4178.75""","=""30630.62""","=""4d6.(5D).5s""","=""6D""","=""1/2""","=""4d6.(5D).5p""","=""6F*""","=""3/2""",,"=""""","=""L149""",
"=""378.0680""","=""378.0680""","=""3000c,w""","=""""",,"=""16553.39""","=""42996.15""","=""4d6.(3H).5s""","=""4H""","=""13/2""","=""4d6.(3H).5p""","=""4I*""","=""15/2""",,"=""""","=""L4515,L14280""",
"=""378.4057""","=""378.4054""","=""500""","=""""",,"=""16025.15""","=""42444.33""","=""4d5.5s2""","=""4G""","=""11/2""","=""4d5.(4D).5s.(5D).5p""","=""6F*""","=""11/2""",,"=""""","=""L149""",
"=""378.6064""","=""378.6068""","=""200""","=""""",,"=""15298.46""","=""41703.59""","=""4d6.(3F2).5s""","=""4F""","=""7/2""","=""4d6.(3H).5p""","=""2G*""","=""9/2""",,"=""""","=""L149""",
"=""379.1282""","=""379.1280""","=""500""","=""""",,"=""15624.25""","=""41993.08""","=""4d6.(3F2).5s""","=""4F""","=""5/2""","=""4d6.(3H).5p""","=""4G*""","=""7/2""",,"=""""","=""L149""",
"=""379.1734""","=""379.1731""","=""300""","=""""",,"=""17146.80""","=""43512.49""","=""4d6.(3H).5s""","=""4H""","=""11/2""","=""4d6.(3H).5p""","=""4H*""","=""11/2""",,"=""""","=""L149""",
"=""379.7435""","=""379.7432""","=""200""","=""""",,"=""16287.79""","=""42613.90""","=""4d5.5s2""","=""4G""","=""7/2""","=""4d6.(3G).5p""","=""2H*""","=""9/2""",,"=""""","=""L149""",
"=""379.7767""","=""379.7765""","=""1000""","=""""",,"=""13252.74""","=""39576.54""","=""4d6.(3P2).5s""","=""4P""","=""5/2""","=""4d6.(3P2).5p""","=""4P*""","=""3/2""",,"=""""","=""L149""",
"=""381.4667""","=""381.4670""","=""200""","=""""",,"=""13252.74""","=""39459.89""","=""4d6.(3P2).5s""","=""4P""","=""5/2""","=""4d5.(4P).5s.(5P).5p""","=""6S*""","=""5/2""",,"=""""","=""L149""",
"=""381.6888""","=""381.6887""","=""300""","=""""",,"=""16025.15""","=""42217.08""","=""4d5.5s2""","=""4G""","=""11/2""","=""4d5.(4D).5s.(5D).5p""","=""6F*""","=""9/2""",,"=""""","=""L149""",
"=""382.4467""","=""382.4468""","=""300""","=""""",,"=""15624.25""","=""41764.26""","=""4d6.(3F2).5s""","=""4F""","=""5/2""","=""4d6.(3F2).5p""","=""4G*""","=""5/2""",,"=""""","=""L149""",
"=""382.8537""","=""382.8537""","=""500""","=""""",,"=""16133.98""","=""42246.21""","=""4d5.5s2""","=""4G""","=""9/2""","=""4d5.(4D).5s.(5D).5p""","=""6F*""","=""7/2""",,"=""""","=""L149""",
"=""383.0352""","=""383.0356""","=""200""","=""""",,"=""21719.83""","=""47819.66""","=""4d6.(3H).5s""","=""2H""","=""11/2""","=""4d6.(1G2).5p""","=""2H*""","=""9/2""",,"=""""","=""L149""",
"=""383.2448""","=""383.2457""","=""200""","=""""",,"=""20523.34""","=""46608.86""","=""4d6.(3F2).5s""","=""2F""","=""5/2""","=""4d6.(3D).5p""","=""2F*""","=""7/2""",,"=""""","=""L149""",
"=""383.2817""","=""383.2813""","=""600""","=""""",,"=""16133.98""","=""42217.08""","=""4d5.5s2""","=""4G""","=""9/2""","=""4d5.(4D).5s.(5D).5p""","=""6F*""","=""9/2""",,"=""""","=""L149""",
"=""383.7559""","=""383.7565""","=""1500""","=""""",,"=""17146.80""","=""43197.60""","=""4d6.(3H).5s""","=""4H""","=""11/2""","=""4d6.(3H).5p""","=""4I*""","=""13/2""",,"=""""","=""L149""",
"=""384.1307""","=""384.1312""","=""800""","=""""",,"=""17146.80""","=""43172.19""","=""4d6.(3H).5s""","=""4H""","=""11/2""","=""4d6.(3H).5p""","=""4I*""","=""11/2""",,"=""""","=""L149""",
"=""384.5974""","=""384.5974""","=""800""","=""""",,"=""15770.42""","=""41764.26""","=""4d6.(3F2).5s""","=""4F""","=""3/2""","=""4d6.(3F2).5p""","=""4G*""","=""5/2""",,"=""""","=""L149""",
"=""384.7596""","=""384.7597""","=""500""","=""""",,"=""17282.63""","=""43265.51""","=""4d6.(3H).5s""","=""4H""","=""7/2""","=""4d6.(3H).5p""","=""4I*""","=""9/2""",,"=""""","=""L149""",
"=""385.1222""","=""385.1222""","=""300""","=""""",,"=""16287.79""","=""42246.21""","=""4d5.5s2""","=""4G""","=""7/2""","=""4d5.(4D).5s.(5D).5p""","=""6F*""","=""7/2""",,"=""""","=""L149""",
"=""385.6734""","=""385.6729""","=""500c""","=""""",,"=""16553.39""","=""42474.75""","=""4d6.(3H).5s""","=""4H""","=""13/2""","=""4d6.(3H).5p""","=""2I*""","=""13/2""",,"=""""","=""L149""",
"=""386.3068""","=""386.3069""","=""200""","=""""",,"=""16415.64""","=""42294.46""","=""4d5.5s2""","=""4G""","=""5/2""","=""4d6.(3F2).5p""","=""4D*""","=""5/2""",,"=""""","=""L149""",
"=""386.4106""","=""386.4111""","=""400""","=""""",,"=""16025.15""","=""41896.99""","=""4d5.5s2""","=""4G""","=""11/2""","=""4d6.(3H).5p""","=""4G*""","=""9/2""",,"=""""","=""L149""",
"=""386.8240""","=""386.8248""","=""1000""","=""""",,"=""17328.02""","=""43172.19""","=""4d6.(3H).5s""","=""4H""","=""9/2""","=""4d6.(3H).5p""","=""4I*""","=""11/2""",,"=""""","=""L149""",
"=""387.5658""","=""387.5667""","=""200""","=""""",,"=""17282.63""","=""43077.33""","=""4d6.(3H).5s""","=""4H""","=""7/2""","=""4d6.(3G).5p""","=""2F*""","=""7/2""",,"=""""","=""L149""",
"=""387.9160""","=""387.9162""","=""500c""","=""""",,"=""24564.76""","=""50336.22""","=""4d6.(1I).5s""","=""2I""","=""11/2""","=""4d6.(1I).5p""","=""2I*""","=""11/2""",,"=""""","=""L4515,L14280""",
"=""388.0715""","=""388.0698""","=""600c""","=""""",,"=""24528.84""","=""50290.10""","=""4d6.(1I).5s""","=""2I""","=""13/2""","=""4d6.(1I).5p""","=""2I*""","=""13/2""",,"=""""","=""L4515,L14280""",
"=""389.2122""","=""389.2079""","=""300c,w""","=""""",,"=""38240.73""","=""63926.66?""","=""4d5.(6S).5s.(5S).5p""","=""6P*""","=""7/2""","=""""","=""2""","=""5/2""",,"=""""","=""L4515""",
"=""389.3220""","=""389.3214""","=""200""","=""""",,"=""16025.15""","=""41703.59""","=""4d5.5s2""","=""4G""","=""11/2""","=""4d6.(3H).5p""","=""2G*""","=""9/2""",,"=""""","=""L149""",
"=""389.9827""","=""389.9829""","=""600""","=""""",,"=""16287.79""","=""41922.68""","=""4d5.5s2""","=""4G""","=""7/2""","=""4d6.(3H).5p""","=""4G*""","=""5/2""",,"=""""","=""L149""",
"=""391.9375""","=""391.9376""","=""300""","=""""",,"=""16415.64""","=""41922.68""","=""4d5.5s2""","=""4G""","=""5/2""","=""4d6.(3H).5p""","=""4G*""","=""5/2""",,"=""""","=""L149""",
"=""392.3663""","=""392.3662""","=""300c""","=""""",,"=""16553.39""","=""42032.57""","=""4d6.(3H).5s""","=""4H""","=""13/2""","=""4d6.(3F2).5p""","=""4G*""","=""11/2""",,"=""""","=""L149""",
"=""392.7573""","=""392.7576""","=""200""","=""""",,"=""17146.80""","=""42600.59""","=""4d6.(3H).5s""","=""4H""","=""11/2""","=""4d6.(3G).5p""","=""2H*""","=""11/2""",,"=""""","=""L149""",
"=""393.3705""","=""""","=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4515""",
"=""394.6571""","=""394.6565""","=""4000c*""","=""""",,"=""21450.48""","=""46781.80""","=""4d6.(3G).5s""","=""4G""","=""9/2""","=""4d6.(3G).5p""","=""4H*""","=""11/2""",,"=""""","=""L4515,L14280""",
"=""394.6571""","=""394.6573""","=""4000c*""","=""""",,"=""17282.63""","=""42613.90""","=""4d6.(3H).5s""","=""4H""","=""7/2""","=""4d6.(3G).5p""","=""2H*""","=""9/2""",,"=""""","=""L149""",
"=""394.7087""","=""394.7090""","=""2000""","=""""",,"=""17146.80""","=""42474.75""","=""4d6.(3H).5s""","=""4H""","=""11/2""","=""4d6.(3H).5p""","=""2I*""","=""13/2""",,"=""""","=""L149""",
"=""395.5734""","=""395.5740""","=""200""","=""""",,"=""17328.02""","=""42600.59""","=""4d6.(3H).5s""","=""4H""","=""9/2""","=""4d6.(3G).5p""","=""2H*""","=""11/2""",,"=""""","=""L149""",
"=""397.9637""","=""397.9646""","=""300""","=""""",,"=""21719.83""","=""46840.59""","=""4d6.(3H).5s""","=""2H""","=""11/2""","=""4d6.(3G).5p""","=""4H*""","=""13/2""",,"=""""","=""L4515,L14280""",
"=""398.0354""","=""398.0351""","=""500""","=""""",,"=""17328.02""","=""42444.33""","=""4d6.(3H).5s""","=""4H""","=""9/2""","=""4d5.(4D).5s.(5D).5p""","=""6F*""","=""11/2""",,"=""""","=""L4515""",
"=""398.4967""","=""398.4968""","=""10000c""","=""4.2e+07""",,"=""2572.89""","=""27660.10""","=""4d6.(5D).5s""","=""6D""","=""9/2""","=""4d6.(5D).5p""","=""6D*""","=""7/2""",,"=""T6934""","=""L149""",
"=""398.7780""","=""398.7797""","=""400""","=""""",,"=""20639.36""","=""45708.77""","=""4d6.(3G).5s""","=""4G""","=""11/2""","=""""","=""4*""","=""9/2""",,"=""""","=""L149""",
"=""399.4038""","=""399.4038""","=""300""","=""""",,"=""14733.14""","=""39763.38""","=""4d7""","=""4F""","=""9/2""","=""4d5.(4G).5s.(5G).5p""","=""6F*""","=""9/2""",,"=""""","=""L149""",
"=""399.4509""","=""399.4498""","=""2000""","=""""",,"=""16553.39""","=""41580.75""","=""4d6.(3H).5s""","=""4H""","=""13/2""","=""4d6.(3H).5p""","=""4G*""","=""11/2""",,"=""""","=""L149""",
"=""399.6974""","=""399.6978""","=""200""","=""""",,"=""17282.63""","=""42294.46""","=""4d6.(3H).5s""","=""4H""","=""7/2""","=""4d6.(3F2).5p""","=""4D*""","=""5/2""",,"=""""","=""L149""",
"=""400.4689""","=""400.4704""","=""300""","=""""",,"=""17282.63""","=""42246.21""","=""4d6.(3H).5s""","=""4H""","=""7/2""","=""4d5.(4D).5s.(5D).5p""","=""6F*""","=""7/2""",,"=""""","=""L149""",
"=""400.7136""","=""400.7140""","=""500""","=""""",,"=""21752.14""","=""46700.54""","=""4d6.(3G).5s""","=""4G""","=""7/2""","=""4d6.(3G).5p""","=""4H*""","=""9/2""",,"=""""","=""L4515,L14280""",
"=""401.1996""","=""401.1998""","=""1000""","=""""",,"=""17328.02""","=""42246.21""","=""4d6.(3H).5s""","=""4H""","=""9/2""","=""4d5.(4D).5s.(5D).5p""","=""6F*""","=""7/2""",,"=""""","=""L149""",
"=""401.6683""","=""401.6694""","=""400""","=""""",,"=""17328.02""","=""42217.08""","=""4d6.(3H).5s""","=""4H""","=""9/2""","=""4d5.(4D).5s.(5D).5p""","=""6F*""","=""9/2""",,"=""""","=""L149""",
"=""401.7223""","=""401.7225""","=""600""","=""""",,"=""17146.80""","=""42032.57""","=""4d6.(3H).5s""","=""4H""","=""11/2""","=""4d6.(3F2).5p""","=""4G*""","=""11/2""",,"=""""","=""L149""",
"=""402.0755""","=""402.0759""","=""2000""","=""""",,"=""21204.96""","=""46068.86""","=""4d6.(3H).5s""","=""2H""","=""9/2""","=""4d6.(3H).5p""","=""2H*""","=""9/2""",,"=""""","=""L149""",
"=""403.1626""","=""403.1623""","=""20000c,w""","=""1.01e+08""",,"=""2572.89""","=""27369.79""","=""4d6.(5D).5s""","=""6D""","=""9/2""","=""4d6.(5D).5p""","=""6D*""","=""9/2""",,"=""T6934""","=""L149""",
"=""403.9246""","=""403.9232""","=""1000""","=""""",,"=""17146.80""","=""41896.99""","=""4d6.(3H).5s""","=""4H""","=""11/2""","=""4d6.(3H).5p""","=""4G*""","=""9/2""",,"=""""","=""L149""",
"=""404.1781""","=""404.1774""","=""200""","=""""",,"=""24147.13""","=""48881.75""","=""4d6.(1G2).5s""","=""2G""","=""9/2""","=""4d6.(3G).5p""","=""2G*""","=""9/2""",,"=""""","=""L149""",
"=""404.9108""","=""404.9108""","=""10000c""","=""""",,"=""3250.91""","=""27940.73""","=""4d6.(5D).5s""","=""6D""","=""7/2""","=""4d6.(5D).5p""","=""6D*""","=""5/2""",,"=""""","=""L149""",
"=""405.1949""","=""405.1949""","=""500""","=""""",,"=""19903.57""","=""44576.08""","=""4d5.5s2""","=""4D""","=""7/2""","=""4d6.(3F2).5p""","=""2G*""","=""9/2""",,"=""""","=""L149""",
"=""405.3177""","=""405.3173""","=""200""","=""""",,"=""17328.02""","=""41993.08""","=""4d6.(3H).5s""","=""4H""","=""9/2""","=""4d6.(3H).5p""","=""4G*""","=""7/2""",,"=""""","=""L149""",
"=""405.6082""","=""405.6069""","=""200c""","=""""",,"=""24528.84""","=""49176.29""","=""4d6.(1I).5s""","=""2I""","=""13/2""","=""4d6.(1I).5p""","=""2H*""","=""11/2""",,"=""""","=""L4515,L14280""",
"=""408.3537""","=""408.3543""","=""400""","=""""",,"=""17282.63""","=""41764.26""","=""4d6.(3H).5s""","=""4H""","=""7/2""","=""4d6.(3F2).5p""","=""4G*""","=""5/2""",,"=""""","=""L149""",
"=""408.8707""","=""408.8702""","=""10000""","=""""",,"=""3700.54""","=""28151.28""","=""4d6.(5D).5s""","=""6D""","=""5/2""","=""4d6.(5D).5p""","=""6D*""","=""3/2""",,"=""""","=""L149""",
"=""409.3694""","=""409.3688""","=""200""","=""""",,"=""17282.63""","=""41703.59""","=""4d6.(3H).5s""","=""4H""","=""7/2""","=""4d6.(3H).5p""","=""2G*""","=""9/2""",,"=""""","=""L149""",
"=""409.5668""","=""409.5662""","=""15000""","=""4.9e+07""",,"=""3250.91""","=""27660.10""","=""4d6.(5D).5s""","=""6D""","=""7/2""","=""4d6.(5D).5p""","=""6D*""","=""7/2""",,"=""T6934""","=""L149""",
"=""411.0221""","=""411.0214""","=""1000""","=""""",,"=""24528.84""","=""48851.61""","=""4d6.(1I).5s""","=""2I""","=""13/2""","=""4d6.(1I).5p""","=""2K*""","=""15/2""",,"=""""","=""L4515,L14280""",
"=""411.5077""","=""411.5065""","=""10000""","=""""",,"=""4002.57""","=""28296.67""","=""4d6.(5D).5s""","=""6D""","=""3/2""","=""4d6.(5D).5p""","=""6D*""","=""1/2""",,"=""""","=""L149""",
"=""411.9274""","=""411.9270""","=""600*""","=""""",,"=""15298.46""","=""39567.76""","=""4d6.(3F2).5s""","=""4F""","=""7/2""","=""4d6.(3G).5p""","=""4F*""","=""7/2""",,"=""""","=""L149""",
"=""411.9274""","=""411.9285""","=""600*""","=""""",,"=""16133.98""","=""40403.19""","=""4d5.5s2""","=""4G""","=""9/2""","=""4d5.(4G).5s.(5G).5p""","=""4H*""","=""9/2""",,"=""""","=""L4515""",
"=""412.4217""","=""412.4217""","=""8000""","=""""",,"=""3700.54""","=""27940.73""","=""4d6.(5D).5s""","=""6D""","=""5/2""","=""4d6.(5D).5p""","=""6D*""","=""5/2""",,"=""""","=""L149""",
"=""412.8268""","=""412.8263""","=""1000""","=""""",,"=""16025.15""","=""40241.58""","=""4d5.5s2""","=""4G""","=""11/2""","=""4d5.(4G).5s.(5G).5p""","=""4H*""","=""11/2""",,"=""""","=""L149""",
"=""413.4813""","=""413.4808""","=""300""","=""""",,"=""21926.79""","=""46104.89""","=""4d6.(3D).5s""","=""2D""","=""3/2""","=""4d6.(3D).5p""","=""2F*""","=""5/2""",,"=""""","=""L149""",
"=""413.9116""","=""413.9096""","=""300*""","=""""",,"=""20384.74""","=""44537.79""","=""4d6.(3F2).5s""","=""2F""","=""7/2""","=""4d6.(3P2).5p""","=""4D*""","=""5/2""",,"=""""","=""L149""",
"=""413.9116""","=""413.9115""","=""300*""","=""""",,"=""20686.26""","=""44839.20""","=""4d6.(3D).5s""","=""2D""","=""5/2""","=""4d6.(3F2).5p""","=""2G*""","=""7/2""",,"=""""","=""L4515""",
"=""413.9849""","=""413.9840""","=""800""","=""""",,"=""4002.57""","=""28151.28""","=""4d6.(5D).5s""","=""6D""","=""3/2""","=""4d6.(5D).5p""","=""6D*""","=""3/2""",,"=""""","=""L149""",
"=""414.1267""","=""414.1221""","=""400""","=""""",,"=""24147.13""","=""48287.79""","=""4d6.(1G2).5s""","=""2G""","=""9/2""","=""4d5.(4D).5s.(5D).5p""","=""4F*""","=""9/2""",,"=""""","=""L4515""",
"=""414.4950""","=""414.4961""","=""6000""","=""""",,"=""3250.91""","=""27369.79""","=""4d6.(5D).5s""","=""6D""","=""7/2""","=""4d6.(5D).5p""","=""6D*""","=""9/2""",,"=""""","=""L149""",
"=""414.5080""","=""414.5126""","=""3000""","=""""",,"=""4178.75""","=""28296.67""","=""4d6.(5D).5s""","=""6D""","=""1/2""","=""4d6.(5D).5p""","=""6D*""","=""1/2""",,"=""""","=""L149""",
"=""414.7615""","=""414.7618""","=""200""","=""""",,"=""19903.57""","=""44007.00""","=""4d5.5s2""","=""4D""","=""7/2""","=""4d6.(3D).5p""","=""2D*""","=""5/2""",,"=""""","=""L149""",
"=""416.5609""","=""416.5605""","=""10000""","=""""",,"=""10516.53""","=""34515.88""","=""4d6.(5D).5s""","=""4D""","=""7/2""","=""4d5.(6S).5s.(5S).5p""","=""4P*""","=""5/2""",,"=""""","=""L149""",
"=""416.7424""","=""416.7413""","=""500""","=""""",,"=""21719.83""","=""45708.77""","=""4d6.(3H).5s""","=""2H""","=""11/2""","=""""","=""4*""","=""9/2""",,"=""""","=""L149""",
"=""416.9680""","=""416.9660""","=""1000""","=""""",,"=""16553.39""","=""40529.40""","=""4d6.(3H).5s""","=""4H""","=""13/2""","=""4d5.(4G).5s.(5G).5p""","=""4H*""","=""13/2""",,"=""""","=""L4515,L14280""",
"=""417.0274""","=""417.0266""","=""4000""","=""""",,"=""4178.75""","=""28151.28""","=""4d6.(5D).5s""","=""6D""","=""1/2""","=""4d6.(5D).5p""","=""6D*""","=""3/2""",,"=""""","=""L149""",
"=""417.2532""","=""417.2523""","=""5000""","=""""",,"=""3700.54""","=""27660.10""","=""4d6.(5D).5s""","=""6D""","=""5/2""","=""4d6.(5D).5p""","=""6D*""","=""7/2""",,"=""""","=""L149""",
"=""417.6276""","=""417.6253""","=""1000""","=""""",,"=""4002.57""","=""27940.73""","=""4d6.(5D).5s""","=""6D""","=""3/2""","=""4d6.(5D).5p""","=""6D*""","=""5/2""",,"=""""","=""L149""",
"=""418.6506""","=""418.6500""","=""800""","=""""",,"=""11063.07""","=""34942.64""","=""4d6.(5D).5s""","=""4D""","=""5/2""","=""4d5.(6S).5s.(5S).5p""","=""4P*""","=""3/2""",,"=""""","=""L149""",
"=""421.8609""","=""421.8604""","=""300*""","=""""",,"=""11578.60""","=""35276.45""","=""4d6.(5D).5s""","=""4D""","=""3/2""","=""4d5.(6S).5s.(5S).5p""","=""4P*""","=""1/2""",,"=""""","=""L149""",
"=""421.8609""","=""421.8645""","=""300*""","=""""",,"=""16133.98""","=""39831.60""","=""4d5.5s2""","=""4G""","=""9/2""","=""4d5.(4G).5s.(5G).5p""","=""6F*""","=""7/2""",,"=""""","=""L4515""",
"=""423.8191""","=""423.8179""","=""5000c""","=""3.8e+07""",,"=""0.00""","=""23588.40""","=""4d5.5s2""","=""6S""","=""5/2""","=""4d5.(6S).5s.(7S).5p""","=""6P*""","=""3/2""",,"=""T6934""","=""L149""",
"=""426.2270""","=""426.2245""","=""10000""","=""4.0e+07""",,"=""0.00""","=""23455.21""","=""4d5.5s2""","=""6S""","=""5/2""","=""4d5.(6S).5s.(7S).5p""","=""6P*""","=""5/2""",,"=""T6934""","=""L149""",
"=""426.2687""","=""426.2682""","=""1000""","=""""",,"=""11063.07""","=""34515.88""","=""4d6.(5D).5s""","=""4D""","=""5/2""","=""4d5.(6S).5s.(5S).5p""","=""4P*""","=""5/2""",,"=""""","=""L149""",
"=""427.8895""","=""427.8878""","=""800""","=""""",,"=""11578.60""","=""34942.64""","=""4d6.(5D).5s""","=""4D""","=""3/2""","=""4d5.(6S).5s.(5S).5p""","=""4P*""","=""3/2""",,"=""""","=""L149""",
"=""429.7058""","=""429.7034""","=""10000""","=""4.2e+07""",,"=""0.00""","=""23265.32""","=""4d5.5s2""","=""6S""","=""5/2""","=""4d5.(6S).5s.(7S).5p""","=""6P*""","=""7/2""",,"=""T6934""","=""L149""",
"=""433.6855""","=""433.6810""","=""400c,w""","=""""",,"=""11890.70""","=""34942.64""","=""4d6.(5D).5s""","=""4D""","=""1/2""","=""4d5.(6S).5s.(5S).5p""","=""4P*""","=""3/2""",,"=""""","=""L149""",
"=""435.8491""","=""435.8490""","=""400""","=""""",,"=""11578.60""","=""34515.88""","=""4d6.(5D).5s""","=""4D""","=""3/2""","=""4d5.(6S).5s.(5S).5p""","=""4P*""","=""5/2""",,"=""""","=""L149""",
"=""435.9257""","=""435.9263""","=""200""","=""""",,"=""21204.96""","=""44138.17""","=""4d6.(3H).5s""","=""2H""","=""9/2""","=""4d6.(3H).5p""","=""2I*""","=""11/2""",,"=""""","=""L149""",
"=""442.9592""","=""442.9581""","=""1000""","=""""",,"=""10516.53""","=""33085.69""","=""4d6.(5D).5s""","=""4D""","=""7/2""","=""4d6.(5D).5p""","=""4D*""","=""5/2""",,"=""""","=""L149""",
"=""448.1533""","=""448.1534""","=""1000""","=""""",,"=""21204.96""","=""43512.49""","=""4d6.(3H).5s""","=""2H""","=""9/2""","=""4d6.(3H).5p""","=""4H*""","=""11/2""",,"=""""","=""L149""",
"=""448.7061""","=""448.7049""","=""3000""","=""""",,"=""11063.07""","=""33343.18""","=""4d6.(5D).5s""","=""4D""","=""5/2""","=""4d6.(5D).5p""","=""4D*""","=""3/2""",,"=""""","=""L149""",
