obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""383.180""","=""383.1793+""","=""760""","=""""",,"=""12207.05""","=""38297.09""","=""4d7.(a 2G).5s""","=""a 3G""","=""5""","=""4d7.(a 2G).5p""","=""z 3H*""","=""5""",,"=""""","=""L3475""",
"=""383.505""","=""383.5058+""","=""220""","=""""",,"=""14700.32""","=""40768.15""","=""4d7.(a 2G).5s""","=""a 1G""","=""4""","=""4d7.(a 2P).5p""","=""x 3D*""","=""3""",,"=""""","=""L3475""",
"=""383.807""","=""383.8070+""","=""310""","=""""",,"=""8043.69""","=""34091.06""","=""4d7.(a 4P).5s""","=""a 5P""","=""2""","=""4d6.5s.(a 6D).5p""","=""y 5D*""","=""1""",,"=""""","=""L3475""",
"=""383.970""","=""383.9698+""","=""930""","=""""",,"=""12207.05""","=""38243.38""","=""4d7.(a 2G).5s""","=""a 3G""","=""5""","=""4d7.(a 2G).5p""","=""y 3F*""","=""4""",,"=""""","=""L3475""",
"=""384.668""","=""384.6672+""","=""480""","=""""",,"=""9057.64""","=""35046.77""","=""4d6.5s2""","=""a 5D""","=""2""","=""4d6.5s.(a 6D).5p""","=""z 5P*""","=""1""",,"=""""","=""L3475""",
"=""385.043""","=""385.0429+""","=""760""","=""""",,"=""7483.07""","=""33446.84""","=""4d6.5s2""","=""a 5D""","=""4""","=""4d6.5s.(a 6D).5p""","=""y 5D*""","=""4""",,"=""""","=""L3475""",
"=""385.646""","=""385.6447+""","=""480""","=""""",,"=""2091.54""","=""28014.79""","=""4d7.(a 4F).5s""","=""a 5F""","=""3""","=""4d7.(a 4F).5p""","=""z 5F*""","=""4""",,"=""""","=""L3475""",
"=""385.755""","=""385.7541+""","=""1300""","=""""",,"=""14700.32""","=""40616.22""","=""4d7.(a 2G).5s""","=""a 1G""","=""4""","=""4d7.(a 2G).5p""","=""z 1H*""","=""5""",,"=""""","=""L3475""",
"=""386.072""","=""386.0717+""","=""220""","=""""",,"=""15054.07""","=""40948.65""","=""4d7.(a 2D).5s""","=""a 3D""","=""2""","=""4d7.(a 2G).5p""","=""z 1F*""","=""3""",,"=""""","=""L3475""",
"=""386.269""","=""386.2682+""","=""650""","=""""",,"=""17096.87""","=""42978.28""","=""4d7.(a 2H).5s""","=""a 3H""","=""4""","=""4d7.(a 2H).5p""","=""z 3I*""","=""5""",,"=""""","=""L3475""",
"=""386.784""","=""386.7836+""","=""1300""","=""""",,"=""6545.03""","=""32391.95""","=""4d7.(a 4F).5s""","=""a 3F""","=""4""","=""4d7.(a 4F).5p""","=""z 3F*""","=""3""",,"=""""","=""L3475""",
"=""387.352""","=""387.3528+""","=""260""","=""""",,"=""9072.98""","=""34881.92""","=""4d6.5s2""","=""a 5D""","=""1""","=""4d6.5s.(a 6D).5p""","=""z 5P*""","=""2""",,"=""""","=""L3475""",
"=""389.221""","=""389.2225+""","=""650""","=""""",,"=""8043.69""","=""33728.66""","=""4d7.(a 4P).5s""","=""a 5P""","=""2""","=""4d6.5s.(a 6D).5p""","=""y 5D*""","=""2""",,"=""""","=""L3475""",
"=""390.908""","=""390.9082+""","=""760""","=""""",,"=""13699.07""","=""39273.28""","=""4d7.(a 2G).5s""","=""a 3G""","=""3""","=""4d7.(a 2G).5p""","=""z 3H*""","=""4""",,"=""""","=""L3475""",
"=""392.092""","=""392.0921+""","=""260""","=""""",,"=""8575.42""","=""34072.41""","=""4d6.5s2""","=""a 5D""","=""3""","=""4d6.5s.(a 6D).5p""","=""z 5P*""","=""3""",,"=""""","=""L3475""",
"=""392.347""","=""392.3474+""","=""1500""","=""""",,"=""12816.69""","=""38297.09""","=""4d7.(a 2G).5s""","=""a 3G""","=""4""","=""4d7.(a 2G).5p""","=""z 3H*""","=""5""",,"=""""","=""L3475""",
"=""392.592""","=""392.5926+""","=""3300""","=""""",,"=""0.00""","=""25464.49""","=""4d7.(a 4F).5s""","=""a 5F""","=""5""","=""4d6.5s.(a 6D).5p""","=""z 7D*""","=""4""",,"=""""","=""L3475""",
"=""393.176""","=""393.1795+""","=""600""","=""""",,"=""9620.29""","=""35046.77""","=""4d7.(a 4P).5s""","=""a 5P""","=""1""","=""4d6.5s.(a 6D).5p""","=""z 5P*""","=""1""",,"=""""","=""L3475""",
"=""393.355""","=""393.3563+""","=""310""","=""""",,"=""2091.54""","=""27506.59""","=""4d7.(a 4F).5s""","=""a 5F""","=""3""","=""4d7.(a 4F).5p""","=""z 5D*""","=""3""",,"=""""","=""L3475""",
"=""394.557""","=""394.5584+""","=""760""","=""""",,"=""16240.13""","=""41577.75""","=""4d7.(a 2H).5s""","=""a 3H""","=""5""","=""4d7.(a 2H).5p""","=""z 3I*""","=""6""",,"=""""","=""L3475""",
"=""395.021""","=""395.0222+""","=""460""","=""""",,"=""6545.03""","=""31852.90""","=""4d7.(a 4F).5s""","=""a 3F""","=""4""","=""4d7.(a 4F).5p""","=""z 3G*""","=""3""",,"=""""","=""L3475""",
"=""395.268""","=""395.2693+""","=""310""","=""""",,"=""16190.61""","=""41482.66""","=""4d7.(a 2D).5s""","=""a 3D""","=""3""","=""4d7.(a 2D).5p""","=""w 3D*""","=""3""",,"=""""","=""L3475""",
"=""396.490""","=""396.4904+""","=""460""","=""""",,"=""0.00""","=""25214.16""","=""4d7.(a 4F).5s""","=""a 5F""","=""5""","=""4d6.5s.(a 6D).5p""","=""z 7D*""","=""5""",,"=""""","=""L3475""",
"=""397.844""","=""397.8447+""","=""600""","=""""",,"=""8043.69""","=""33172.02""","=""4d7.(a 4P).5s""","=""a 5P""","=""2""","=""4d7.(a 4F).5p""","=""z 3F*""","=""2""",,"=""""","=""L3475""",
"=""397.942""","=""397.9419+""","=""600""","=""""",,"=""1190.64""","=""26312.83""","=""4d7.(a 4F).5s""","=""a 5F""","=""4""","=""4d7.(a 4F).5p""","=""z 5D*""","=""4""",,"=""""","=""L3475""",
"=""398.486""","=""398.4858+""","=""870""","=""""",,"=""8084.12""","=""33172.02""","=""4d7.(a 4F).5s""","=""a 3F""","=""3""","=""4d7.(a 4F).5p""","=""z 3F*""","=""2""",,"=""""","=""L3475""",
"=""399.598""","=""399.5979+""","=""280""","=""""",,"=""9072.98""","=""34091.06""","=""4d6.5s2""","=""a 5D""","=""1""","=""4d6.5s.(a 6D).5p""","=""y 5D*""","=""1""",,"=""""","=""L3475""",
"=""402.216""","=""402.2161+""","=""1500""","=""""",,"=""8575.42""","=""33430.65""","=""4d6.5s2""","=""a 5D""","=""3""","=""4d6.5s.(a 6D).5p""","=""y 5D*""","=""3""",,"=""""","=""L3475""",
"=""402.383""","=""402.3830+""","=""600""","=""""",,"=""1190.64""","=""26035.56""","=""4d7.(a 4F).5s""","=""a 5F""","=""4""","=""4d6.5s.(a 6D).5p""","=""z 7D*""","=""3""",,"=""""","=""L3475""",
"=""403.921""","=""403.9207+""","=""310""","=""""",,"=""14700.32""","=""39450.66""","=""4d7.(a 2G).5s""","=""a 1G""","=""4""","=""4d7.(a 2G).5p""","=""y 3G*""","=""5""",,"=""""","=""L3475""",
"=""405.140""","=""405.1391+""","=""1400""","=""""",,"=""8770.93""","=""33446.84""","=""4d7.(a 4P).5s""","=""a 5P""","=""3""","=""4d6.5s.(a 6D).5p""","=""y 5D*""","=""4""",,"=""""","=""L3475""",
"=""405.405""","=""405.4051+""","=""710""","=""""",,"=""8770.93""","=""33430.65""","=""4d7.(a 4P).5s""","=""a 5P""","=""3""","=""4d6.5s.(a 6D).5p""","=""y 5D*""","=""3""",,"=""""","=""L3475""",
"=""406.446""","=""406.4455+""","=""370""","=""""",,"=""8575.42""","=""33172.02""","=""4d6.5s2""","=""a 5D""","=""3""","=""4d7.(a 4F).5p""","=""z 3F*""","=""2""",,"=""""","=""L3475""",
"=""406.761""","=""406.7607+""","=""200""","=""""",,"=""16190.61""","=""40768.15""","=""4d7.(a 2D).5s""","=""a 3D""","=""3""","=""4d7.(a 2P).5p""","=""x 3D*""","=""3""",,"=""""","=""L3475""",
"=""406.837""","=""406.8365+""","=""760""","=""""",,"=""14700.32""","=""39273.28""","=""4d7.(a 2G).5s""","=""a 1G""","=""4""","=""4d7.(a 2G).5p""","=""z 3H*""","=""4""",,"=""""","=""L3475""",
"=""407.300""","=""407.2999+""","=""200""","=""""",,"=""9183.66""","=""33728.66""","=""4d7.(a 4F).5s""","=""a 3F""","=""2""","=""4d6.5s.(a 6D).5p""","=""y 5D*""","=""2""",,"=""""","=""L3475""",
"=""407.673""","=""407.6723+""","=""980""","=""""",,"=""9057.64""","=""33580.22""","=""4d6.5s2""","=""a 5D""","=""2""","=""4d7.(a 4F).5p""","=""z 3D*""","=""1""",,"=""""","=""L3475""",
"=""408.060""","=""408.0594+""","=""6000""","=""""",,"=""6545.03""","=""31044.35""","=""4d7.(a 4F).5s""","=""a 3F""","=""4""","=""4d7.(a 4F).5p""","=""z 3D*""","=""3""",,"=""""","=""L3475""",
"=""408.543""","=""408.5423+""","=""310""","=""""",,"=""16712.58""","=""41182.94""","=""4d7.(a 2D).5s""","=""a 3D""","=""1""","=""4d7.(a 2D).5p""","=""x 3F*""","=""2""",,"=""""","=""L3475""",
"=""409.779""","=""409.7782+""","=""930""","=""""",,"=""9183.66""","=""33580.22""","=""4d7.(a 4F).5s""","=""a 3F""","=""2""","=""4d7.(a 4F).5p""","=""z 3D*""","=""1""",,"=""""","=""L3475""",
"=""410.174""","=""410.1741+""","=""350""","=""""",,"=""9057.64""","=""33430.65""","=""4d6.5s2""","=""a 5D""","=""2""","=""4d6.5s.(a 6D).5p""","=""y 5D*""","=""3""",,"=""""","=""L3475""",
"=""411.274""","=""411.2740+""","=""1900""","=""""",,"=""8084.12""","=""32391.95""","=""4d7.(a 4F).5s""","=""a 3F""","=""3""","=""4d7.(a 4F).5p""","=""z 3F*""","=""3""",,"=""""","=""L3475""",
"=""414.416""","=""414.4162+""","=""2000""","=""""",,"=""8084.12""","=""32207.65""","=""4d7.(a 4F).5s""","=""a 3F""","=""3""","=""4d7.(a 4F).5p""","=""z 3D*""","=""2""",,"=""""","=""L3475""",
"=""414.574""","=""414.5734+""","=""650""","=""""",,"=""9057.64""","=""33172.02""","=""4d6.5s2""","=""a 5D""","=""2""","=""4d7.(a 4F).5p""","=""z 3F*""","=""2""",,"=""""","=""L3475""",
"=""414.677""","=""414.6768+""","=""260""","=""""",,"=""9620.29""","=""33728.66""","=""4d7.(a 4P).5s""","=""a 5P""","=""1""","=""4d6.5s.(a 6D).5p""","=""y 5D*""","=""2""",,"=""""","=""L3475""",
"=""416.751""","=""416.7514+""","=""870""","=""""",,"=""9183.66""","=""33172.02""","=""4d7.(a 4F).5s""","=""a 3F""","=""2""","=""4d7.(a 4F).5p""","=""z 3F*""","=""2""",,"=""""","=""L3475""",
"=""419.758""","=""419.7582+""","=""550""","=""""",,"=""8575.42""","=""32391.95""","=""4d6.5s2""","=""a 5D""","=""3""","=""4d7.(a 4F).5p""","=""z 3F*""","=""3""",,"=""""","=""L3475""",
"=""419.888""","=""419.8872+""","=""550""","=""""",,"=""8043.69""","=""31852.90""","=""4d7.(a 4P).5s""","=""a 5P""","=""2""","=""4d7.(a 4F).5p""","=""z 3G*""","=""3""",,"=""""","=""L3475""",
"=""419.990""","=""419.9894+""","=""7600""","=""3.99e+07""",,"=""6545.03""","=""30348.45""","=""4d7.(a 4F).5s""","=""a 3F""","=""4""","=""4d7.(a 4F).5p""","=""z 3F*""","=""4""",,"=""T6131""","=""L3475""",
"=""420.602""","=""420.601+""","=""1500""","=""""",,"=""8084.12""","=""31852.90""","=""4d7.(a 4F).5s""","=""a 3F""","=""3""","=""4d7.(a 4F).5p""","=""z 3G*""","=""3""",,"=""""","=""L3475""",
"=""421.206""","=""421.206+""","=""5400""","=""""",,"=""6545.03""","=""30279.68""","=""4d7.(a 4F).5s""","=""a 3F""","=""4""","=""4d7.(a 4F).5p""","=""z 5G*""","=""5""",,"=""""","=""L3475""",
"=""421.444""","=""421.444+""","=""760""","=""""",,"=""13645.75""","=""37367.02""","=""4d7.(a 4P).5s""","=""b 3P""","=""2""","=""4d7.(a 4P).5p""","=""x 5D*""","=""3""",,"=""""","=""L3475""",
"=""421.727""","=""421.727+""","=""930""","=""""",,"=""6545.03""","=""30250.40""","=""4d7.(a 4F).5s""","=""a 3F""","=""4""","=""4d6.5s.(a 6D).5p""","=""z 7P*""","=""4""",,"=""""","=""L3475""",
"=""422.068""","=""422.068+""","=""370""","=""""",,"=""13981.67""","=""37667.86""","=""4d7.(a 4P).5s""","=""b 3P""","=""1""","=""4d7.(a 4P).5p""","=""x 5D*""","=""2""",,"=""""","=""L3475""",
"=""423.031""","=""423.032+""","=""550""","=""""",,"=""8575.42""","=""32207.65""","=""4d6.5s2""","=""a 5D""","=""3""","=""4d7.(a 4F).5p""","=""z 3D*""","=""2""",,"=""""","=""L3475""",
"=""424.105""","=""424.106+""","=""760""","=""""",,"=""8770.93""","=""32343.30""","=""4d7.(a 4P).5s""","=""a 5P""","=""3""","=""4d6.5s.(a 6D).5p""","=""z 7P*""","=""2""",,"=""""","=""L3475""",
"=""424.306""","=""424.306+""","=""760""","=""""",,"=""7483.07""","=""31044.35""","=""4d6.5s2""","=""a 5D""","=""4""","=""4d7.(a 4F).5p""","=""z 3D*""","=""3""",,"=""""","=""L3475""",
"=""424.673""","=""424.674+""","=""370""","=""""",,"=""20055.71""","=""43596.58""","=""4d7.(a 2H).5s""","=""a 1H""","=""5""","=""4d7.(a 2H).5p""","=""y 1H*""","=""5""",,"=""""","=""L3475""",
"=""425.899""","=""425.899+""","=""310""","=""""",,"=""13645.75""","=""37118.90""","=""4d7.(a 4P).5s""","=""b 3P""","=""2""","=""4d7.(a 4P).5p""","=""z 3P*""","=""2""",,"=""""","=""L3475""",
"=""428.433""","=""428.433+""","=""760""","=""""",,"=""9057.64""","=""32391.95""","=""4d6.5s2""","=""a 5D""","=""2""","=""4d7.(a 4F).5p""","=""z 3F*""","=""3""",,"=""""","=""L3475""",
"=""429.328""","=""429.328+""","=""220""","=""""",,"=""9057.64""","=""32343.30""","=""4d6.5s2""","=""a 5D""","=""2""","=""4d6.5s.(a 6D).5p""","=""z 7P*""","=""2""",,"=""""","=""L3475""",
"=""429.479""","=""429.479+""","=""260""","=""""",,"=""8575.42""","=""31852.90""","=""4d6.5s2""","=""a 5D""","=""3""","=""4d7.(a 4F).5p""","=""z 3G*""","=""3""",,"=""""","=""L3475""",
"=""429.593""","=""429.593+""","=""550""","=""""",,"=""9120.63""","=""32391.95""","=""4d8""","=""b 3F""","=""4""","=""4d7.(a 4F).5p""","=""z 3F*""","=""3""",,"=""""","=""L3475""",
"=""429.771""","=""429.771+""","=""3700""","=""""",,"=""8084.12""","=""31345.79""","=""4d7.(a 4F).5s""","=""a 3F""","=""3""","=""4d7.(a 4F).5p""","=""z 5G*""","=""4""",,"=""""","=""L3475""",
"=""430.760""","=""430.759+""","=""930""","=""""",,"=""9183.66""","=""32391.95""","=""4d7.(a 4F).5s""","=""a 3F""","=""2""","=""4d7.(a 4F).5p""","=""z 3F*""","=""3""",,"=""""","=""L3475""",
"=""431.843""","=""431.844+""","=""370""","=""""",,"=""9057.64""","=""32207.65""","=""4d6.5s2""","=""a 5D""","=""2""","=""4d7.(a 4F).5p""","=""z 3D*""","=""2""",,"=""""","=""L3475""",
"=""431.987""","=""431.987+""","=""550""","=""""",,"=""8043.69""","=""31186.03""","=""4d7.(a 4P).5s""","=""a 5P""","=""2""","=""4d7.(a 4P).5p""","=""z 5S*""","=""2""",,"=""""","=""L3475""",
"=""434.207""","=""434.208+""","=""550""","=""""",,"=""9183.66""","=""32207.65""","=""4d7.(a 4F).5s""","=""a 3F""","=""2""","=""4d7.(a 4F).5p""","=""z 3D*""","=""2""",,"=""""","=""L3475""",
"=""434.970""","=""434.970+""","=""350""","=""""",,"=""13981.67""","=""36965.28""","=""4d7.(a 4P).5s""","=""b 3P""","=""1""","=""4d7.(a 4P).5p""","=""y 3D*""","=""2""",,"=""""","=""L3475""",
"=""435.413""","=""435.413+""","=""710""","=""""",,"=""8084.12""","=""31044.35""","=""4d7.(a 4F).5s""","=""a 3F""","=""3""","=""4d7.(a 4F).5p""","=""z 3D*""","=""3""",,"=""""","=""L3475""",
"=""436.121""","=""436.120+""","=""870""","=""""",,"=""6545.03""","=""29468.04""","=""4d7.(a 4F).5s""","=""a 3F""","=""4""","=""4d6.5s.(a 6D).5p""","=""z 7F*""","=""5""",,"=""""","=""L3475""",
"=""437.221""","=""437.220+""","=""2400""","=""""",,"=""7483.07""","=""30348.45""","=""4d6.5s2""","=""a 5D""","=""4""","=""4d7.(a 4F).5p""","=""z 3F*""","=""4""",,"=""""","=""L3475""",
"=""438.539""","=""438.539+""","=""870""","=""""",,"=""7483.07""","=""30279.68""","=""4d6.5s2""","=""a 5D""","=""4""","=""4d7.(a 4F).5p""","=""z 5G*""","=""5""",,"=""""","=""L3475""",
"=""438.565""","=""438.564+""","=""1300""","=""""",,"=""9057.64""","=""31852.90""","=""4d6.5s2""","=""a 5D""","=""2""","=""4d7.(a 4F).5p""","=""z 3G*""","=""3""",,"=""""","=""L3475""",
"=""439.044""","=""439.044+""","=""1700""","=""""",,"=""8575.42""","=""31345.79""","=""4d6.5s2""","=""a 5D""","=""3""","=""4d7.(a 4F).5p""","=""z 5G*""","=""4""",,"=""""","=""L3475""",
"=""441.003""","=""441.003+""","=""1600""","=""""",,"=""9183.66""","=""31852.90""","=""4d7.(a 4F).5s""","=""a 3F""","=""2""","=""4d7.(a 4F).5p""","=""z 3G*""","=""3""",,"=""""","=""L3475""",
"=""442.146""","=""442.146+""","=""160""","=""""",,"=""8575.42""","=""31186.03""","=""4d6.5s2""","=""a 5D""","=""3""","=""4d7.(a 4P).5p""","=""z 5S*""","=""2""",,"=""""","=""L3475""",
"=""442.846""","=""442.846+""","=""330""","=""""",,"=""8770.93""","=""31345.79""","=""4d7.(a 4P).5s""","=""a 5P""","=""3""","=""4d7.(a 4F).5p""","=""z 5G*""","=""4""",,"=""""","=""L3475""",
"=""443.976""","=""443.976+""","=""460""","=""""",,"=""10654.62""","=""33172.02""","=""4d8""","=""b 3F""","=""3""","=""4d7.(a 4F).5p""","=""z 3F*""","=""2""",,"=""""","=""L3475""",
"=""444.934""","=""444.934+""","=""440""","=""""",,"=""8575.42""","=""31044.35""","=""4d6.5s2""","=""a 5D""","=""3""","=""4d7.(a 4F).5p""","=""z 3D*""","=""3""",,"=""""","=""L3475""",
"=""446.004""","=""446.003+""","=""1100""","=""""",,"=""8770.93""","=""31186.03""","=""4d7.(a 4P).5s""","=""a 5P""","=""3""","=""4d7.(a 4P).5p""","=""z 5S*""","=""2""",,"=""""","=""L3475""",
"=""447.393""","=""447.393+""","=""190""","=""""",,"=""6545.03""","=""28890.47""","=""4d7.(a 4F).5s""","=""a 3F""","=""4""","=""4d7.(a 4F).5p""","=""z 5F*""","=""3""",,"=""""","=""L3475""",
"=""448.045""","=""448.045+""","=""150""","=""""",,"=""15054.07""","=""37367.02""","=""4d7.(a 2D).5s""","=""a 3D""","=""2""","=""4d7.(a 4P).5p""","=""x 5D*""","=""3""",,"=""""","=""L3475""",
"=""449.814""","=""449.814+""","=""350""","=""""",,"=""9120.63""","=""31345.79""","=""4d8""","=""b 3F""","=""4""","=""4d7.(a 4F).5p""","=""z 5G*""","=""4""",,"=""""","=""L3475""",
"=""451.010""","=""451.009+""","=""120""","=""""",,"=""8084.12""","=""30250.40""","=""4d7.(a 4F).5s""","=""a 3F""","=""3""","=""4d6.5s.(a 6D).5p""","=""z 7P*""","=""4""",,"=""""","=""L3475""",
"=""451.689""","=""451.689+""","=""220""","=""""",,"=""11447.31""","=""33580.22""","=""4d8""","=""b 3F""","=""2""","=""4d7.(a 4F).5p""","=""z 3D*""","=""1""",,"=""""","=""L3475""",
"=""451.782""","=""451.781+""","=""220""","=""""",,"=""9057.64""","=""31186.03""","=""4d6.5s2""","=""a 5D""","=""2""","=""4d7.(a 4P).5p""","=""z 5S*""","=""2""",,"=""""","=""L3475""",
"=""452.095""","=""452.095+""","=""110""","=""""",,"=""9072.98""","=""31186.03""","=""4d6.5s2""","=""a 5D""","=""1""","=""4d7.(a 4P).5p""","=""z 5S*""","=""2""",,"=""""","=""L3475""",
"=""454.733""","=""454.729+""","=""170""","=""""",,"=""7483.07""","=""29468.04""","=""4d6.5s2""","=""a 5D""","=""4""","=""4d6.5s.(a 6D).5p""","=""z 7F*""","=""5""",,"=""""","=""L3475""",
"=""454.785""","=""454.786+""","=""110""","=""""",,"=""13981.67""","=""35963.87""","=""4d7.(a 4P).5s""","=""b 3P""","=""1""","=""4d6.5s.(a 6D).5p""","=""y 5F*""","=""2""",,"=""""","=""L3475""",
"=""455.451""","=""455.452+""","=""5400""","=""""",,"=""6545.03""","=""28495.10""","=""4d7.(a 4F).5s""","=""a 3F""","=""4""","=""4d7.(a 4F).5p""","=""z 3G*""","=""5""",,"=""""","=""L3475""",
"=""455.998""","=""455.999+""","=""110""","=""""",,"=""9120.63""","=""31044.35""","=""4d8""","=""b 3F""","=""4""","=""4d7.(a 4F).5p""","=""z 3D*""","=""3""",,"=""""","=""L3475""",
"=""458.444""","=""458.444+""","=""1700""","=""""",,"=""8084.12""","=""29890.91""","=""4d7.(a 4F).5s""","=""a 3F""","=""3""","=""4d7.(a 4F).5p""","=""z 3G*""","=""4""",,"=""""","=""L3475""",
"=""459.110""","=""459.111+""","=""110""","=""""",,"=""9183.66""","=""30958.80""","=""4d7.(a 4F).5s""","=""a 3F""","=""2""","=""4d7.(a 4F).5p""","=""z 5G*""","=""2""",,"=""""","=""L3475""",
"=""459.252""","=""459.252+""","=""150""","=""""",,"=""10623.53""","=""32391.95""","=""4d7.(a 2P).5s""","=""a 3P""","=""2""","=""4d7.(a 4F).5p""","=""z 3F*""","=""3""",,"=""""","=""L3475""",
"=""459.908""","=""459.909+""","=""330""","=""""",,"=""10654.62""","=""32391.95""","=""4d8""","=""b 3F""","=""3""","=""4d7.(a 4F).5p""","=""z 3F*""","=""3""",,"=""""","=""L3475""",
"=""463.569""","=""463.569+""","=""170""","=""""",,"=""9620.29""","=""31186.03""","=""4d7.(a 4P).5s""","=""a 5P""","=""1""","=""4d7.(a 4P).5p""","=""z 5S*""","=""2""",,"=""""","=""L3475""",
"=""464.509""","=""464.510+""","=""200""","=""""",,"=""20055.71""","=""41577.75""","=""4d7.(a 2H).5s""","=""a 1H""","=""5""","=""4d7.(a 2H).5p""","=""z 3I*""","=""6""",,"=""""","=""L3475""",
"=""464.761""","=""464.760+""","=""720""","=""""",,"=""8084.12""","=""29594.56""","=""4d7.(a 4F).5s""","=""a 3F""","=""3""","=""4d6.5s.(a 6D).5p""","=""z 7F*""","=""4""",,"=""""","=""L3475""",
"=""465.432""","=""465.432+""","=""290""","=""""",,"=""9057.64""","=""30537.06""","=""4d6.5s2""","=""a 5D""","=""2""","=""4d7.(a 4F).5p""","=""z 5G*""","=""3""",,"=""""","=""L3475""",
"=""468.179""","=""468.178+""","=""290""","=""""",,"=""9183.66""","=""30537.06""","=""4d7.(a 4F).5s""","=""a 3F""","=""2""","=""4d7.(a 4F).5p""","=""z 5G*""","=""3""",,"=""""","=""L3475""",
"=""468.402""","=""468.402+""","=""190""","=""""",,"=""8084.12""","=""29427.32""","=""4d7.(a 4F).5s""","=""a 3F""","=""3""","=""4d7.(a 4F).5p""","=""z 5F*""","=""2""",,"=""""","=""L3475""",
"=""469.011""","=""469.011+""","=""290""","=""""",,"=""8575.42""","=""29890.91""","=""4d6.5s2""","=""a 5D""","=""3""","=""4d7.(a 4F).5p""","=""z 3G*""","=""4""",,"=""""","=""L3475""",
"=""470.948""","=""470.948+""","=""1400""","=""""",,"=""9120.63""","=""30348.45""","=""4d8""","=""b 3F""","=""4""","=""4d7.(a 4F).5p""","=""z 3F*""","=""4""",,"=""""","=""L3475""",
"=""473.133""","=""473.134+""","=""140""","=""""",,"=""9120.63""","=""30250.40""","=""4d8""","=""b 3F""","=""4""","=""4d6.5s.(a 6D).5p""","=""z 7P*""","=""4""",,"=""""","=""L3475""",
"=""473.352""","=""473.353+""","=""120""","=""""",,"=""8770.93""","=""29890.91""","=""4d7.(a 4P).5s""","=""a 5P""","=""3""","=""4d7.(a 4F).5p""","=""z 3G*""","=""4""",,"=""""","=""L3475""",
"=""475.784""","=""475.785+""","=""500""","=""""",,"=""7483.07""","=""28495.10""","=""4d6.5s2""","=""a 5D""","=""4""","=""4d7.(a 4F).5p""","=""z 3G*""","=""5""",,"=""""","=""L3475""",
"=""481.552""","=""481.553+""","=""260""","=""""",,"=""11447.31""","=""32207.65""","=""4d8""","=""b 3F""","=""2""","=""4d7.(a 4F).5p""","=""z 3D*""","=""2""",,"=""""","=""L3475""",
"=""484.456""","=""484.456+""","=""120""","=""""",,"=""9057.64""","=""29693.57""","=""4d6.5s2""","=""a 5D""","=""2""","=""4d7.(a 4F).5p""","=""z 5F*""","=""1""",,"=""""","=""L3475""",
"=""486.915""","=""486.915+""","=""550""","=""""",,"=""7483.07""","=""28014.79""","=""4d6.5s2""","=""a 5D""","=""4""","=""4d7.(a 4F).5p""","=""z 5F*""","=""4""",,"=""""","=""L3475""",
"=""489.560""","=""489.560+""","=""160""","=""""",,"=""10623.53""","=""31044.35""","=""4d7.(a 2P).5s""","=""a 3P""","=""2""","=""4d7.(a 4F).5p""","=""z 3D*""","=""3""",,"=""""","=""L3475""",
"=""490.305""","=""490.306+""","=""470""","=""""",,"=""10654.62""","=""31044.35""","=""4d8""","=""b 3F""","=""3""","=""4d7.(a 4F).5p""","=""z 3D*""","=""3""",,"=""""","=""L3475""",
"=""490.789""","=""490.789+""","=""120""","=""""",,"=""9057.64""","=""29427.32""","=""4d6.5s2""","=""a 5D""","=""2""","=""4d7.(a 4F).5p""","=""z 5F*""","=""2""",,"=""""","=""L3475""",
"=""492.107""","=""492.109+""","=""260""","=""""",,"=""8575.42""","=""28890.47""","=""4d6.5s2""","=""a 5D""","=""3""","=""4d7.(a 4F).5p""","=""z 5F*""","=""3""",,"=""""","=""L3475""",
"=""493.843""","=""493.844+""","=""180""","=""""",,"=""9183.66""","=""29427.32""","=""4d7.(a 4F).5s""","=""a 3F""","=""2""","=""4d7.(a 4F).5p""","=""z 5F*""","=""2""",,"=""""","=""L3475""",
"=""496.890""","=""496.891+""","=""160""","=""""",,"=""8770.93""","=""28890.47""","=""4d7.(a 4P).5s""","=""a 5P""","=""3""","=""4d7.(a 4F).5p""","=""z 5F*""","=""3""",,"=""""","=""L3475""",
"=""498.035""","=""498.036+""","=""160""","=""""",,"=""9620.29""","=""29693.57""","=""4d7.(a 4P).5s""","=""a 5P""","=""1""","=""4d7.(a 4F).5p""","=""z 5F*""","=""1""",,"=""""","=""L3475""",
"=""499.274""","=""499.273+""","=""120""","=""""",,"=""7483.07""","=""27506.59""","=""4d6.5s2""","=""a 5D""","=""4""","=""4d7.(a 4F).5p""","=""z 5D*""","=""3""",,"=""""","=""L3475""",
"=""501.123""","=""501.123+""","=""160""","=""""",,"=""9620.29""","=""29569.90""","=""4d7.(a 4P).5s""","=""a 5P""","=""1""","=""4d7.(a 4F).5p""","=""z 5D*""","=""0""",,"=""""","=""L3475""",
"=""501.495""","=""501.495+""","=""90""","=""""",,"=""9183.66""","=""29118.49""","=""4d7.(a 4F).5s""","=""a 3F""","=""2""","=""4d7.(a 4F).5p""","=""z 5D*""","=""1""",,"=""""","=""L3475""",
